CourseEvals,BeautyScore,female,lower,nonenglish,tenuretrack
3.230185899,1.421445,1,0,0,1
3.57019391,1.421445,1,0,0,1
4.95977889,1.421445,1,0,0,1
3.985090432,1.421445,1,0,0,1
4.397227667,1.421445,1,0,0,1
4.546310653,0.5002196,0,0,0,1
4.298962134,0.5002196,0,0,0,1
3.873059309,0.5002196,0,0,0,1
3.898825228,0.5002196,0,0,0,1
3.608000904,0.5002196,0,0,0,1
4.227334389,0.5002196,0,0,0,1
3.382149007,-0.2143501,1,0,0,1
4.430401328,-0.2143501,1,0,0,1
3.347792931,-0.2143501,1,0,0,1
4.285852497,-0.2143501,1,0,0,1
3.301355554,-0.346539,1,0,0,1
3.446048532,-0.346539,1,0,0,1
3.229863095,-0.346539,1,0,0,1
3.335312007,-0.346539,1,1,0,1
3.109384494,-0.346539,1,0,0,1
3.154574324,-0.346539,1,0,0,1
3.179856519,0.0613435,1,0,0,1
2.556546559,0.0613435,1,0,0,1
4.213071402,0.0613435,1,0,0,1
3.813924569,0.0613435,1,0,0,1
3.580279635,0.0613435,1,0,0,1
3.544531883,0.0613435,1,0,0,1
3.848225557,0.4525679,0,0,0,0
3.547113829,0.4525679,0,0,0,0
4.591036727,0.4525679,0,0,0,0
3.188196076,0.4525679,0,1,0,0
4.25409633,0.4525679,0,1,0,0
4.176636512,0.4525679,0,0,0,0
3.783156328,0.4525679,0,1,0,0
3.8061842,0.4525679,0,0,0,0
4.417181579,0.4525679,0,1,0,0
3.24656475,0.1432643,0,0,1,1
2.946635093,0.1432643,0,0,1,1
4.421489036,-0.1550228,0,0,0,0
3.647188224,-0.1550228,0,0,0,0
3.721047599,-0.1550228,0,0,0,0
4.125383778,-0.1550228,0,0,0,0
4.262075643,0.1285433,0,0,0,1
3.640011999,0.1285433,0,0,0,1
4.960730102,0.1285433,0,0,0,1
4.410735297,0.1285433,0,0,0,1
3.383421898,0.1285433,0,0,0,1
3.995401786,0.1285433,0,0,0,1
3.806577616,-0.3470453,0,0,1,1
2.926010475,-0.3470453,0,0,1,1
3.244946249,-0.3470453,0,0,1,1
3.927866071,0.4619388,1,0,0,1
3.298322185,0.4619388,1,0,0,1
3.213052396,0.4619388,1,0,0,1
3.40905707,-0.1503849,0,1,0,1
3.690854871,-0.1503849,0,1,0,1
3.722307706,-0.1503849,0,0,0,1
4.354871476,-0.1503849,0,0,0,1
3.585999674,-0.1503849,0,1,0,1
4.20008002,-1.070734,1,0,0,0
3.412578736,-1.070734,1,0,0,0
3.82944373,-1.070734,1,0,0,0
3.345033687,-1.070734,1,0,0,0
3.893311385,-0.1426931,0,0,0,0
4.723377891,-0.1426931,0,0,0,0
3.736814067,-0.1426931,0,1,0,0
3.792077302,-0.1426931,0,1,0,0
3.788313736,-0.1426931,0,0,0,0
3.309630545,-0.1426931,0,1,0,0
3.459617743,-0.1426931,0,1,0,0
3.343926321,-0.1563634,1,1,0,1
4.215101984,-0.1563634,1,0,0,1
4.635706777,-0.1563634,1,0,0,1
2.790810599,-0.1563634,1,0,0,1
4.135203234,-0.1563634,1,0,0,1
3.800292668,-0.1563634,1,1,0,1
3.643433579,-0.1563634,1,0,0,1
3.447930487,-0.1563634,1,1,0,1
3.79781724,-0.0589354,1,0,0,0
3.529183717,-0.0589354,1,0,0,0
3.925274701,-0.0589354,1,0,0,0
4.651210306,-0.0589354,1,0,0,0
3.384575661,-0.0589354,1,0,0,0
3.937138775,-0.0589354,1,0,0,0
4.116655859,-0.0589354,1,0,0,0
3.894128444,-0.0589354,1,0,0,0
3.355303093,-0.0589354,1,0,0,0
3.675016697,0.1511368,1,0,0,0
4.188178793,0.1511368,1,0,0,0
3.916365227,0.1511368,1,0,0,0
3.395640426,0.1511368,1,0,0,0
3.566902919,0.1511368,1,0,0,0
3.167406726,-0.8214405,0,1,0,1
4.329309924,-0.8214405,0,0,0,1
3.316138362,-0.8214405,0,1,0,1
2.761512758,-0.8214405,0,1,0,1
4.377065659,-0.1994712,0,0,0,1
3.199457299,-0.1994712,0,0,0,1
4.04639873,-0.1994712,0,0,0,1
4.170625887,-0.1994712,0,0,0,1
3.339950847,-0.1994712,0,0,0,1
3.668726529,-0.1994712,0,0,0,1
3.75919272,1.687167,1,0,0,1
4.334691308,-0.4101976,0,0,0,1
3.794902869,-0.4101976,0,1,0,1
3.231782083,-0.4101976,0,0,0,1
3.535793957,-0.4101976,0,1,0,1
4.124055198,0.1233448,0,0,1,1
3.740583724,0.1233448,0,0,1,1
4.33918993,0.1233448,0,0,1,1
3.891285136,0.1233448,0,0,1,1
3.688361646,0.1233448,0,0,1,1
3.847354557,0.1233448,0,0,1,1
3.75001539,-0.8059942,0,0,0,1
4.589162847,-0.8059942,0,0,0,1
3.338355758,-0.8059942,0,0,0,1
3.742066294,-0.8210418,0,0,0,1
3.408856618,-0.8210418,0,0,0,1
4.720616685,-0.8210418,0,0,0,1
4.156698215,-0.0985568,0,0,0,0
3.96280126,-0.0985568,0,0,0,0
4.696006979,-0.0985568,0,0,0,0
4.176933943,-0.0985568,0,0,0,0
4.036244285,-0.0985568,0,0,0,0
4.229053251,-0.0985568,0,0,0,0
4.482092732,-1.012306,0,0,0,1
3.848287403,-1.012306,0,0,0,1
4.247241381,0.4883314,0,1,0,1
4.058248622,0.4883314,0,0,0,1
4.28260553,0.4883314,0,0,0,1
4.788563105,0.4883314,0,0,0,1
3.025417545,-0.1719505,1,0,0,1
2.428781562,-0.1719505,1,1,0,1
3.347391934,-0.1719505,1,1,0,1
3.808243711,-0.1719505,1,0,0,1
3.28622682,-0.1719505,1,1,0,1
2.743566654,-0.1719505,1,1,0,1
3.305207324,-0.1719505,1,1,0,1
3.29504783,-0.1719505,1,1,0,1
3.378420427,-0.1719505,1,1,0,1
3.111543157,-0.1719505,1,1,0,1
2.912534794,-0.1719505,1,1,0,1
2.778701624,-0.1719505,1,1,0,1
3.681537136,-1.167907,0,0,0,1
3.379590088,-1.167907,0,0,0,1
4.163089532,0.9525534,1,0,0,1
3.320500497,0.9525534,1,0,0,1
4.379856345,0.9525534,1,0,0,1
3.584711041,-1.140457,0,0,0,1
3.426319292,-1.140457,0,0,0,1
3.917635404,-1.140457,0,0,0,1
4.540712087,-1.140457,0,0,0,1
3.125359801,-1.140457,0,0,0,1
3.950637281,-1.140457,0,0,0,1
3.593757569,-1.140457,0,0,0,1
3.434629058,-0.8161172,0,0,0,1
3.44131225,-0.8161172,0,0,0,1
3.845103016,-0.4837456,0,0,0,1
4.221292983,-0.4837456,0,0,0,1
3.752940918,-0.4837456,0,0,0,1
4.204141592,-0.4837456,0,0,0,1
4.124061516,-0.4837456,0,0,0,1
3.867031471,-0.4837456,0,0,0,1
3.71187677,-0.4837456,0,1,0,1
4.113999323,-0.3261277,0,0,0,1
4.856975038,-0.3261277,0,0,0,1
3.816781185,-0.3261277,0,0,0,1
4.344058467,-0.3261277,0,0,0,1
3.369957107,0.1865589,0,1,0,1
3.438816347,0.1865589,0,0,0,1
3.628979513,0.1865589,0,1,0,1
4.327728657,1.881674,1,0,0,0
4.67275854,1.881674,1,0,0,0
3.916479318,1.881674,1,1,0,0
4.205979841,0.9626006,0,0,0,1
4.48599363,0.9626006,0,0,0,1
4.239314644,0.1534694,0,0,0,1
3.169361994,0.1534694,0,1,0,1
3.6316723,0.1534694,0,0,0,1
4.449169458,1.261046,0,0,0,1
4.467667257,1.261046,0,0,0,1
3.220096548,-0.3460746,1,0,0,1
3.560472324,-0.3460746,1,0,0,1
3.920945678,-0.744618,1,1,0,0
4.009780634,-0.744618,1,1,0,0
2.79889588,-0.744618,1,0,0,0
2.844491476,-0.744618,1,0,0,0
3.148539738,-0.744618,1,0,0,0
3.328789349,-0.744618,1,0,0,0
4.322717352,-0.7447439,0,0,0,1
3.62286816,-0.7447439,0,0,0,1
4.037216567,-0.7447439,0,0,0,1
3.709300735,-0.7447439,0,0,0,1
3.652535932,-0.7447439,0,0,0,1
3.638144943,-0.7447439,0,0,0,1
3.896012375,-0.7447439,0,0,0,1
4.101540111,-0.7447439,0,0,0,1
3.962839652,-0.7447439,0,0,0,1
3.242963949,-0.7447439,0,0,0,1
3.74427389,-0.7447439,0,0,0,1
4.146143887,-0.7447439,0,0,0,1
3.612215212,0.6361284,1,0,0,1
3.989669082,0.6361284,1,0,0,1
4.152150482,0.6361284,1,0,0,1
3.615051335,0.6361284,1,0,0,1
2.734051593,0.6361284,1,0,0,1
4.095480107,0.5434852,0,0,0,1
3.119449976,0.5434852,0,0,0,1
4.584501734,0.5434852,0,0,0,1
4.102741228,0.9825948,1,1,0,1
4.295606531,0.9825948,1,0,0,1
3.657459131,0.9825948,1,0,0,1
3.58853694,0.9825948,1,0,0,1
3.489054074,0.9825948,1,1,0,1
4.030480782,0.9825948,1,0,0,1
2.264917152,-1.538843,1,1,0,1
2.719367052,-1.538843,1,1,0,1
3.548389637,-1.538843,1,0,0,1
2.869926973,-1.538843,1,0,0,1
2.63000952,-1.538843,1,0,0,1
4.850540175,1.067531,0,0,0,1
3.958513912,1.067531,0,1,0,1
4.212623463,-0.4143639,0,1,0,1
3.425339831,-0.4143639,0,1,0,1
3.490319958,-0.4143639,0,0,0,1
3.870452394,-0.4143639,0,0,0,1
3.695950297,0.7962944,1,0,0,1
3.220623014,-0.6466943,1,0,0,1
2.467697737,-0.6466943,1,1,0,1
3.434277205,-0.6466943,1,1,0,1
1.944243385,-0.6466943,1,1,0,1
3.11102862,-0.6466943,1,1,0,1
3.104837302,-0.6466943,1,1,0,1
4.180426873,-0.6466943,1,0,0,1
2.936440487,-0.6466943,1,1,0,1
3.490121832,-0.6466943,1,0,0,1
3.557594216,-0.4299034,0,1,1,1
3.75587513,-0.5924066,1,0,0,1
3.121155727,-0.5924066,1,0,0,1
3.909108848,0.6851749,1,0,0,1
4.856480325,0.9755885,1,0,0,1
4.033144713,0.9755885,1,0,0,1
3.310307666,-1.178738,1,0,0,0
3.528436234,-1.178738,1,0,0,0
3.01943699,-1.178738,1,0,0,0
2.501746461,-1.178738,1,0,0,0
3.722520724,-1.178738,1,0,0,0
2.816315637,-1.178738,1,0,0,0
2.9843222,-1.157511,0,0,0,1
3.495188381,-1.157511,0,0,0,1
4.037870778,-1.157511,0,0,0,1
2.825915495,-1.157511,0,0,0,1
3.422934844,-1.157511,0,0,0,1
4.441669111,1.327346,0,0,0,1
3.593346295,-1.511268,0,0,0,1
3.241932094,-1.511268,0,0,0,1
3.4401585,-0.5783117,0,1,0,1
3.060216153,-0.5783117,0,1,0,1
3.056649915,-0.5783117,0,1,0,1
4.064338302,-0.5783117,0,1,0,1
2.948672323,-0.5783117,0,1,0,1
3.421832205,-0.5783117,0,1,0,1
3.280265039,-0.5783117,0,1,0,1
3.82939244,-0.5783117,0,1,0,1
3.387052657,-0.671936,0,1,0,0
4.265153665,-0.671936,0,1,0,0
3.149728492,-0.671936,0,1,0,0
2.810284977,-0.671936,0,1,0,0
3.682914346,-0.671936,0,1,0,0
3.139236938,-0.671936,0,1,0,0
3.910100397,-0.671936,0,1,0,0
4.009281233,-0.671936,0,1,0,0
3.979895,-0.671936,0,1,0,0
3.288346169,0.6683338,0,0,0,1
4.274796999,0.6683338,0,0,0,1
5,0.6683338,0,0,0,1
4.276026521,0.6683338,0,0,0,1
5,0.6683338,0,0,0,1
3.542860819,0.7924695,0,1,0,1
3.258539586,0.7924695,0,1,0,1
2.96122756,0.7924695,0,1,0,1
3.837806797,0.7924695,0,1,0,1
3.922089831,-0.6548505,0,1,0,1
3.921731896,-0.6548505,0,1,0,1
3.710003579,-0.6548505,0,1,0,1
3.024209204,0.2510546,1,1,0,1
4.044560626,-0.2397178,1,1,0,1
3.122263289,-1.113346,1,1,0,0
2.85718981,-1.113346,1,1,0,0
3.261738094,-1.113346,1,1,0,0
3.783343402,-1.113346,1,1,0,0
2.389286321,-1.113346,1,1,0,0
4.168159921,-0.1135935,0,1,0,1
3.690853175,-0.1135935,0,0,0,1
3.687427135,-0.1135935,0,0,0,1
4.17672524,-0.8351366,0,0,0,1
3.588007201,-0.8351366,0,0,0,1
4.401392889,0.9005994,1,0,0,1
3.93298907,0.9005994,1,0,0,1
4.749721645,0.9005994,1,0,0,1
3.526500018,-0.620769,0,1,0,0
3.719947124,-0.620769,0,1,0,0
3.257812721,-0.620769,0,1,0,0
3.057960473,-0.8552412,0,1,0,1
3.054809762,-0.8552412,0,1,0,1
3.035141556,-0.8552412,0,1,0,1
2.819713965,-0.8552412,0,1,0,1
3.791034907,-0.8552412,0,1,0,1
3.287817092,-0.8552412,0,1,0,1
3.346200138,-0.8552412,0,1,0,1
3.85679667,-0.8552412,0,0,0,1
3.480681131,-0.8552412,0,1,0,1
2.889805278,-0.8552412,0,1,0,1
4.244275028,1.065906,1,1,0,0
3.280904946,1.065906,1,1,0,0
4.027994224,1.065906,1,1,0,0
3.733446212,1.065906,1,1,0,0
3.734693558,1.144253,1,1,0,1
3.678468533,1.144253,1,1,0,1
4.026699596,1.144253,1,1,0,1
3.56957952,1.144253,1,1,0,1
3.392854953,1.685985,0,1,0,0
4.244512727,1.685985,0,1,0,0
4.644818298,1.685985,0,1,0,0
4.525023939,1.685985,0,1,0,0
4.428228591,1.685985,0,1,0,0
4.350663458,1.685985,0,1,0,0
4.162443244,1.685985,0,1,0,0
3.615677205,1.684802,0,1,0,1
4.12880635,1.684802,0,0,0,1
3.621034814,0.6362435,0,1,0,1
3.650573769,-1.269975,0,1,0,1
3.400730447,-1.269975,0,1,0,1
3.602579918,-1.269975,0,1,0,1
3.128079029,-1.269975,0,0,0,1
2.795497865,-1.269975,0,1,0,1
3.784506184,-1.269975,0,1,0,1
3.234749918,1.681103,1,1,0,1
4.136941361,1.681103,1,1,0,1
2.74638829,-0.6756103,0,1,0,1
3.852289845,-0.0901815,1,1,0,1
3.491208491,-0.0901815,1,1,0,1
3.315224503,-0.1450257,1,0,1,1
3.990371694,-0.1450257,1,0,1,1
3.369571181,-0.1450257,1,0,1,1
2.891549363,-0.1450257,1,0,1,1
3.403678629,-0.1450257,1,0,1,1
3.595618118,-0.1450257,1,0,1,1
3.096778317,1.143045,0,1,0,1
4.580999825,1.143045,0,0,0,1
3.708582234,1.143045,0,1,0,1
4.438558599,1.143045,0,1,0,1
4.860265537,1.143045,0,0,0,1
4.154586693,0.3320507,1,0,1,1
3.111189204,0.3320507,1,0,1,1
3.434021543,0.3320507,1,1,1,1
